Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel
1,104,2001,2023-06-10,3,63.34,Online
2,104,2002,2024-01-12,3,59.03,In-Store
3,117,2002,2024-04-19,1,133.38,Online
4,101,2002,2023-09-11,3,26.88,Online
5,111,2002,2023-08-15,1,51.57,Online
6,102,2002,2023-09-28,1,29.55,Online
7,104,2002,2023-12-20,1,61.94,In-Store
8,114,2002,2023-08-25,2,58.73,In-Store
9,116,2002,2023-10-16,1,257.33,In-Store
10,108,2002,2023-12-16,3,193.33,Online
11,117,2002,2024-04-14,3,120.28,Online
12,105,2003,2024-04-29,1,123.89,In-Store
13,108,2003,2024-01-08,2,200.06,In-Store
14,114,2003,2023-11-15,1,59.66,In-Store
15,118,2003,2023-12-20,3,134.0,In-Store
16,114,2003,2024-03-04,3,54.66,In-Store
17,111,2003,2024-01-22,3,49.77,In-Store
18,113,2003,2024-01-29,1,10.58,In-Store
19,112,2003,2023-11-14,2,27.61,Online
20,110,2003,2024-01-15,2,109.3,In-Store
21,102,2003,2023-07-14,3,24.6,Online
22,112,2003,2023-10-16,3,27.85,In-Store
23,103,2003,2024-04-10,2,92.74,Online
24,105,2004,2023-09-25,3,109.44,Online
25,109,2004,2023-08-07,3,147.77,Online
26,107,2004,2024-03-04,1,64.25,Online
27,106,2004,2024-04-20,2,35.13,Online
28,107,2004,2024-04-07,1,65.28,Online
29,112,2004,2024-04-13,3,31.95,In-Store
30,112,2004,2024-03-16,2,31.4,In-Store
31,117,2004,2023-08-03,1,129.09,In-Store
32,109,2005,2023-12-17,1,150.6,Online
33,104,2005,2023-11-29,2,63.29,Online
34,104,2005,2023-11-01,2,68.15,In-Store
35,104,2006,2023-10-31,3,65.84,Online
36,116,2007,2024-02-09,1,252.37,Online
37,101,2007,2024-05-06,1,28.67,Online
38,113,2007,2023-09-20,2,11.36,In-Store
39,113,2007,2023-08-03,3,11.55,Online
40,110,2007,2024-03-21,2,108.33,In-Store
41,112,2007,2023-09-06,1,27.93,In-Store
42,110,2007,2023-10-08,1,127.8,In-Store
43,116,2007,2024-05-13,1,259.92,Online
44,104,2007,2024-03-02,3,66.75,In-Store
45,114,2007,2024-03-24,3,60.2,In-Store
46,106,2007,2023-12-14,2,34.55,Online
47,114,2007,2024-03-09,2,55.66,In-Store
48,106,2007,2024-01-23,3,38.42,Online
49,106,2007,2024-03-25,2,34.17,Online
50,110,2007,2024-04-25,2,112.94,Online
51,113,2007,2023-12-11,1,9.83,Online
52,107,2008,2023-07-26,2,64.07,In-Store
53,105,2008,2024-01-20,3,117.52,In-Store
54,107,2008,2024-01-23,3,60.67,Online
55,105,2008,2024-01-25,2,124.21,Online
56,101,2008,2023-08-17,3,28.04,Online
